Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Cast Bucket,Required Colors,Hybrid Colors,Archetype Size Min,Archetypes,J2SJosh Rating,Rating Note,Second Half,Second Half Cost,Layout,Scryfall URL,Image URL,Collector Number
"Emrakul, the Exigent Doom","Emrakul, the Exigent Doom",Colorless,C,C,{10},10,Mythic,Legendary Creature — Eldrazi,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137,1
No Admittance,No Admittance,Red,R,R,{1}{R},2,Common,Sorcery,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/89/no-admittance,https://cards.scryfall.io/normal/front/1/1/11ba4fdd-cc03-4bb6-a493-91a9785771d0.jpg?1788878170,89
Pompous Battlemage // Improvised Act,Pompous Battlemage,Red,R,R,{R},1,Rare,Creature — Goblin Sorcerer,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Improvised Act,{R},prepare,https://scryfall.com/card/fra/90/pompous-battlemage-improvised-act,https://cards.scryfall.io/normal/front/a/a/aa0f77ac-741a-444a-8bf0-a42c644726bf.jpg?1788878186,90
Pyre Rhymer // Molten Tide,Pyre Rhymer,Red,R,R,{1}{R}{R},3,Rare,Creature — Elemental Sorcerer,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Molten Tide,{R},prepare,https://scryfall.com/card/fra/91/pyre-rhymer-molten-tide,https://cards.scryfall.io/normal/front/2/b/2b0ebea0-86de-4da4-9fe8-dacc1e75c161.jpg?1789470850,91
Skilled Battlecarver,Skilled Battlecarver,Red,R,R,{1}{R},2,Common,Creature — Human Warrior,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/92/skilled-battlecarver,https://cards.scryfall.io/normal/front/0/e/0e44f959-1322-4abd-b6eb-dea992307c0c.jpg?1789556811,92
Stingcaster Mage,Stingcaster Mage,Red,R,R,{1}{R},2,Mythic,Creature — Human Wizard,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/93/stingcaster-mage,https://cards.scryfall.io/normal/front/2/d/2d8e8e5f-3bf5-490d-aa9c-9df2b26f1460.jpg?1788329303,93
Tether Technician,Tether Technician,Red,R,R,{4}{R},5,Common,Creature — Minotaur Artificer,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/94/tether-technician,https://cards.scryfall.io/normal/front/b/7/b75bbf46-a421-467a-9433-6cf22398a3a5.jpg?1789556839,94
Violent Echoes,Violent Echoes,Red,R,R,{2}{R}{R},4,Uncommon,Instant,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/95/violent-echoes,https://cards.scryfall.io/normal/front/a/d/ad03ba90-2442-4a71-94df-2088b5b63662.jpg?1789127599,95
Wrath of the Bloodmane,Wrath of the Bloodmane,Red,R,R,{2}{R},3,Common,Instant,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/96/wrath-of-the-bloodmane,https://cards.scryfall.io/normal/front/b/5/b5b55617-684a-4036-be9b-a3b24fc9cd5a.jpg?1789385820,96
Arcane Amphisbaena,Arcane Amphisbaena,Green,G,G,{1}{G},2,Common,Creature — Snake,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/97/arcane-amphisbaena,https://cards.scryfall.io/normal/front/1/b/1bf923c4-f0b7-4271-978c-fd2e79fe1cc8.jpg?1788878190,97
Bestial Incursion,Bestial Incursion,Green,G,G,{3}{G},4,Common,Sorcery,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/98/bestial-incursion,https://cards.scryfall.io/normal/front/e/0/e0de5f66-f0df-4866-9f73-104ce50411b4.jpg?1789127248,98
Budding Insurgent,Budding Insurgent,Green,G,G,{2}{G},3,Common,Creature — Dryad Scout,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/99/budding-insurgent,https://cards.scryfall.io/normal/front/1/8/18c59d60-2640-4576-9375-3ba38aa3ecb7.jpg?1789127120,99
Carnivorous Cultivator // Enroot,Carnivorous Cultivator,Green,G,G,{1}{G},2,Rare,Creature — Elf Warlock,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,Enroot,{G},prepare,https://scryfall.com/card/fra/100/carnivorous-cultivator-enroot,https://cards.scryfall.io/normal/front/7/9/79dd5c54-5ea5-47b5-8f9b-50ed57a5ea45.jpg?1789385967,100
Compel Brutality,Compel Brutality,Green,G,G,{1}{G},2,Common,Instant,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/101/compel-brutality,https://cards.scryfall.io/normal/front/b/d/bd32d736-7a58-46b9-90b4-2cac3c3e80a1.jpg?1788521235,101
Flourishing Grapple,Flourishing Grapple,Green,G,G,{G},1,Uncommon,Instant,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/102/flourishing-grapple,https://cards.scryfall.io/normal/front/f/7/f71958e9-6d6d-4393-8b49-567103b50877.jpg?1789470852,102
Gardenize,Gardenize,Green,G,G,{1}{G}{G},3,Rare,Enchantment,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.0,,,,normal,https://scryfall.com/card/fra/103/gardenize,https://cards.scryfall.io/normal/front/9/3/930b89c3-4433-48de-829f-20fc3dbfced9.jpg?1789644837,103
Greenhouse Propagator,Greenhouse Propagator,Green,G,G,{2}{G},3,Common,Creature — Cat Druid,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/104/greenhouse-propagator,https://cards.scryfall.io/normal/front/a/5/a56e0f91-b128-4693-a949-53cb403f4fbf.jpg?1789127136,104
Heartwood Crafter // Soul Tether,Heartwood Crafter,Green,G,RG,{G},1,Uncommon,Creature — Elf Artificer,Mono Green,G,RG,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Soul Tether,{2}{R/G},prepare,https://scryfall.com/card/fra/105/heartwood-crafter-soul-tether,https://cards.scryfall.io/normal/front/9/1/910a1f41-17fd-4ab0-9597-7151e79dc760.jpg?1789127630,105
Hexhaven Invigorator,Hexhaven Invigorator,Green,G,G,{G}{G}{G}{G},4,Mythic,Creature — Chimera Horror,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/106/hexhaven-invigorator,https://cards.scryfall.io/normal/front/9/a/9a446cae-e93c-4574-8ffd-7688f9729a8a.jpg?1788878191,106
Hungering Puppetbeast,Hungering Puppetbeast,Green,G,G,{3}{G}{G},5,Rare,Artifact Creature — Beast Construct,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/107/hungering-puppetbeast,https://cards.scryfall.io/normal/front/3/d/3db2da7a-8088-4117-916b-f9c905d1b45b.jpg?1789127646,107
Hunter's Axe,Hunter's Axe,Green,G,G,{G},1,Uncommon,Artifact — Equipment,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/108/hunters-axe,https://cards.scryfall.io/normal/front/a/2/a2cc5d0e-9643-4ee2-81de-fa2c3bd1ab09.jpg?1789556822,108
Inspired Tethermage,Inspired Tethermage,Green,G,G,{2}{G},3,Common,Creature — Elf Warrior,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/109/inspired-tethermage,https://cards.scryfall.io/normal/front/0/7/073f4998-a204-447b-93d5-746ae87fd6a1.jpg?1788878192,109
Omnipresence,Omnipresence,Green,G,G,{5}{G}{G}{G},8,Mythic,Enchantment,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.0,,,,normal,https://scryfall.com/card/fra/110/omnipresence,https://cards.scryfall.io/normal/front/e/a/eaf9dc77-c83b-49cf-84be-6bd791cb925e.jpg?1789470856,110
Puppet Crafting,Puppet Crafting,Green,G,G,{1}{G},2,Rare,Enchantment — Aura,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/111/puppet-crafting,https://cards.scryfall.io/normal/front/6/b/6b8789a6-3b63-4198-af5f-c2f2f49fafd9.jpg?1789470736,111
Restore with Empathy,Restore with Empathy,Green,G,G,{2}{G},3,Uncommon,Instant,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/112/restore-with-empathy,https://cards.scryfall.io/normal/front/3/5/3546b93b-a7d1-451d-a369-22cc8ddcd00d.jpg?1788865848,112
Simulacrum Shaper,Simulacrum Shaper,Green,G,G,{1}{G}{G},3,Rare,Creature — Elf Druid,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/113/simulacrum-shaper,https://cards.scryfall.io/normal/front/7/c/7c725702-8696-4e5a-8318-62f5e2616d52.jpg?1789470857,113
Something Worth Saving,Something Worth Saving,Green,G,G,{1}{G},2,Common,Instant,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/114/something-worth-saving,https://cards.scryfall.io/normal/front/0/2/02ee7817-40af-4fcf-a2df-eb218b669281.jpg?1788878199,114
Sureshot Sower,Sureshot Sower,Green,G,G,{1}{G},2,Common,Creature — Human Archer,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/115/sureshot-sower,https://cards.scryfall.io/normal/front/b/6/b635389c-e286-4edb-80d1-23dbe4a18857.jpg?1789614751,115
Tarmogoyf,Tarmogoyf,Green,G,G,{1}{G},2,Mythic,Creature — Lhurgoyf,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/116/tarmogoyf,https://cards.scryfall.io/normal/front/8/b/8be5ee47-8f8a-4e3c-b1a1-9ca0e1fdec7f.jpg?1789127270,116
Tethermage's Advantage,Tethermage's Advantage,Green,G,G,{G},1,Common,Instant,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/117/tethermages-advantage,https://cards.scryfall.io/normal/front/3/8/38589a7c-9cfb-4bcc-845e-9dc205095853.jpg?1789129937,117
Verdant Kraken,Verdant Kraken,Green,G,G,{4}{G}{G}{G},7,Rare,Creature — Plant Kraken,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.5,,,,normal,https://scryfall.com/card/fra/118/verdant-kraken,https://cards.scryfall.io/normal/front/2/b/2bb7a8eb-227f-410b-859f-750ef0aea2f0.jpg?1789644841,118
Vinelasher Adept,Vinelasher Adept,Green,G,G,{4}{G}{G},6,Common,Creature — Rhino Soldier,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/119/vinelasher-adept,https://cards.scryfall.io/normal/front/e/5/e5ed142b-2b61-4ef5-8b23-2db2a0a0319d.jpg?1789556814,119
Wrecking Gecko,Wrecking Gecko,Green,G,G,{4}{G},5,Common,Artifact Creature — Lizard Construct,Mono Green,G,,1,|Green||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/120/wrecking-gecko,https://cards.scryfall.io/normal/front/3/d/3d693cb0-681e-480a-8f70-07e94c39225c.jpg?1789385843,120
Aerid Konstrari,Aerid Konstrari,Multicolor (Red/Green),RG,RG,{1}{R}{G}{G},4,Mythic,Legendary Creature — Elder Sphinx,Gold Red/Green,RG,,2,|Red/Green||White/Red/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.5,,,,normal,https://scryfall.com/card/fra/121/aerid-konstrari,https://cards.scryfall.io/normal/front/f/1/f17d2792-b075-4c47-ad38-e7a7eaee5f8c.jpg?1788878199,121
Avatar of Burgeoning Echoes,Avatar of Burgeoning Echoes,Multicolor (Blue/Green),UG,UG,{G}{U},2,Mythic,Creature — Avatar,Gold Blue/Green,UG,,2,|Blue/Green||White/Blue/Green||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/122/avatar-of-burgeoning-echoes,https://cards.scryfall.io/normal/front/5/9/5905995b-7a20-4602-a7cc-90aa5089a082.jpg?1788878208,122
Blessed Ghoul,Blessed Ghoul,Multicolor (White/Black),WB,WB,{W/B},1,Common,Creature — Zombie Cleric,Hybrid White/Black,,WB,1,|White||Black||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/123/blessed-ghoul,https://cards.scryfall.io/normal/front/b/b/bb975803-9bf2-401e-9414-d272df314398.jpg?1789556847,123
Bloombrute,Bloombrute,Multicolor (White/Green),WG,WG,{2}{G}{W},4,Uncommon,Creature — Plant Elemental,Gold White/Green,WG,,2,|White/Green||White/Blue/Green||White/Black/Green||White/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/124/bloombrute,https://cards.scryfall.io/normal/front/6/b/6b804503-9c70-4b1f-bb13-a65fb6dd3ef8.jpg?1789644843,124
Charge the Sanctum,Charge the Sanctum,Multicolor (White/Red),WR,WR,{2}{R/W},3,Common,Instant,Hybrid White/Red,,WR,1,|White||Red||White/Blue||White/Black||White/Red||White/Green||Blue/Red||Black/Red||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/125/charge-the-sanctum,https://cards.scryfall.io/normal/front/8/7/87b40df5-5c0a-41f5-a09c-a04f17066a91.jpg?1788521570,125
Clash of Elements,Clash of Elements,Multicolor (Blue/Red),UR,UR,{1}{U}{R},3,Uncommon,Instant,Gold Blue/Red,UR,,2,|Blue/Red||White/Blue/Red||Blue/Black/Red||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/126/clash-of-elements,https://cards.scryfall.io/normal/front/b/6/b61bcef7-5832-45e6-a2bc-26d4f23707fc.jpg?1788878210,126
Craftwork Crusher,Craftwork Crusher,Multicolor (Red/Green),RG,RG,{3}{R}{R}{G}{G},7,Uncommon,Artifact Creature — Boar Construct,Gold Red/Green,RG,,2,|Red/Green||White/Red/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/127/craftwork-crusher,https://cards.scryfall.io/normal/front/0/3/03f9839c-aa07-4ee7-847b-091e47ab80c4.jpg?1789470711,127
Denzilore Fatehold,Denzilore Fatehold,Multicolor (White/Blue),WU,WU,{1}{W}{U}{U},4,Mythic,Legendary Creature — Elder Sphinx,Gold White/Blue,WU,,2,|White/Blue||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Blue/Black/Red/Green|,4.5,,,,normal,https://scryfall.com/card/fra/128/denzilore-fatehold,https://cards.scryfall.io/normal/front/9/8/986f9e98-9d8d-428b-9187-860745cf3269.jpg?1788878215,128
Desperate Futurescribe,Desperate Futurescribe,Multicolor (White/Blue),WU,WU,{2}{W}{U},4,Uncommon,Creature — Kor Scout,Gold White/Blue,WU,,2,|White/Blue||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/129/desperate-futurescribe,https://cards.scryfall.io/normal/front/c/f/cfaa3ebd-5c21-4e99-a0dd-8426d19b53a5.jpg?1789644852,129
Emergency Phytomedic // Seed Suture,Emergency Phytomedic,Multicolor (White/Green),WG,WG,{G/W},1,Common,Creature — Dryad Cleric,Hybrid White/Green,,WG,1,|White||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Seed Suture,{G/W},prepare,https://scryfall.com/card/fra/130/emergency-phytomedic-seed-suture,https://cards.scryfall.io/normal/front/d/e/de94d388-919d-44ff-baef-8c90a417ac6d.jpg?1789637792,130
Entrust the Spark,Entrust the Spark,Multicolor (Blue/Green),UG,UG,{3}{G}{U},5,Rare,Sorcery,Gold Blue/Green,UG,,2,|Blue/Green||White/Blue/Green||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.0,,,,normal,https://scryfall.com/card/fra/131/entrust-the-spark,https://cards.scryfall.io/normal/front/c/a/ca894d25-b9fc-4cd6-8746-70d8c2868721.jpg?1789614779,131
Fatehold Charm,Fatehold Charm,Multicolor (White/Blue),WU,WU,{W}{U},2,Uncommon,Instant,Gold White/Blue,WU,,2,|White/Blue||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/132/fatehold-charm,https://cards.scryfall.io/normal/front/c/f/cfc54011-647e-4428-bcdb-59400e1da49d.jpg?1789127637,132
