Card Name,Color,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,J2SJosh Rating,Scryfall URL,Image URL
Blazing Crescendo,Red,{1}{R},2,Common,Instant,,,1.5,https://scryfall.com/card/fra/75/blazing-crescendo,https://cards.scryfall.io/normal/front/8/4/8414a98c-0c79-4884-bc9b-061a6456b392.jpg?1789060147
Blessed Ghoul,Multicolor (White/Black),{W/B},1,Common,Creature — Zombie Cleric,1,1,1.5,https://scryfall.com/card/fra/123/blessed-ghoul,https://cards.scryfall.io/normal/front/b/b/bb975803-9bf2-401e-9414-d272df314398.jpg?1789556847
Cast Away Doubt,Black,{2}{B},3,Common,Sorcery,,,1.5,https://scryfall.com/card/fra/51/cast-away-doubt,https://cards.scryfall.io/normal/front/3/b/3b5b28a4-0abd-4dc2-9856-c9a8d27f6a2d.jpg?1788353191
Charge the Sanctum,Multicolor (White/Red),{2}{R/W},3,Common,Instant,,,1.5,https://scryfall.com/card/fra/125/charge-the-sanctum,https://cards.scryfall.io/normal/front/8/7/87b40df5-5c0a-41f5-a09c-a04f17066a91.jpg?1788521570
"Codie, Ravenous Codex",Colorless,{3},3,Rare,Legendary Artifact Creature — Book Construct,1,4,1.5,https://scryfall.com/card/fra/168/codie-ravenous-codex,https://cards.scryfall.io/normal/front/c/3/c3192390-1518-49fc-8716-f2c7a0384f39.jpg?1789646811
Cryotheory Adept,Blue,{1}{U},2,Common,Creature — Human Wizard,2,1,1.5,https://scryfall.com/card/fra/27/cryotheory-adept,https://cards.scryfall.io/normal/front/9/b/9ba1f7ce-3404-4932-9795-22967707f762.jpg?1789556701
Eardrum Rattler,Red,{1}{R},2,Common,Creature — Human Bard,2,2,1.5,https://scryfall.com/card/fra/81/eardrum-rattler,https://cards.scryfall.io/normal/front/5/f/5f8771f9-8128-4818-a11d-41ea368cf697.jpg?1789127173
"Emrakul, the Exigent Doom",Colorless,{10},10,Mythic,Legendary Creature — Eldrazi,12,12,1.5,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
Fateshaper Aspirant,White,{4}{W},5,Common,Creature — Rhino Cleric,3,4,1.5,https://scryfall.com/card/fra/6/fateshaper-aspirant,https://cards.scryfall.io/normal/front/f/0/f0c8400d-824f-4d79-84bc-7615a0deb831.jpg?1789556683
"Fblthp, Impossibly Lost",Blue,{1}{U},2,Uncommon,Legendary Creature — Homunculus,1,1,1.5,https://scryfall.com/card/fra/213/fblthp-impossibly-lost,https://cards.scryfall.io/normal/front/a/3/a3a2edbb-d144-4670-acad-17316cea98d2.jpg?1789127697
Ferocity of the Hunt,Multicolor (Black/Green),{1}{B/G},2,Common,Enchantment — Aura,,,1.5,https://scryfall.com/card/fra/134/ferocity-of-the-hunt,https://cards.scryfall.io/normal/front/a/9/a9793ce9-5a0b-41fe-b9ad-02f6f7da2481.jpg?1789644856
Frostbite Pyromental,Multicolor (Blue/Red),{U}{R}{R},3,Rare,Creature — Elemental,4,4,1.5,https://scryfall.com/card/fra/135/frostbite-pyromental,https://cards.scryfall.io/normal/front/7/a/7a44581f-8fc4-457d-888a-1e211090ee7e.jpg?1789470870
Ghalta the Immovable,White,{8}{W},9,Uncommon,Legendary Creature — Elder Dinosaur,0,7,1.5,https://scryfall.com/card/fra/197/ghalta-the-immovable,https://cards.scryfall.io/normal/front/a/9/a9f3aa55-908f-42db-8135-4201433df850.jpg?1789014423
Gideon's Memorial,White,{1}{W},2,Rare,Legendary Artifact,,,1.5,https://scryfall.com/card/fra/198/gideons-memorial,https://cards.scryfall.io/normal/front/7/6/768c0e64-9907-417a-a763-c836fdf36883.jpg?1789127685
Graft Surgeon,White,{2}{W},3,Common,Creature — Human Cleric,2,2,1.5,https://scryfall.com/card/fra/10/graft-surgeon,https://cards.scryfall.io/normal/front/3/2/32a7a905-11bf-4b66-a28e-1066a0e372b8.jpg?1789644811
Hallway Heckler // Vicious Verse,Red,{2}{R},3,Common,Creature — Elemental Sorcerer,2,3,1.5,https://scryfall.com/card/fra/85/hallway-heckler-vicious-verse,https://cards.scryfall.io/normal/front/7/e/7e324816-552f-455d-97c4-5ea6b26d2e6e.jpg?1789127576
Hexhaven Dueling Arena,Colorless,,0,Uncommon,Land,,,1.5,https://scryfall.com/card/fra/181/hexhaven-dueling-arena,https://cards.scryfall.io/normal/front/9/1/9128ce00-6744-4d36-bfbe-ef75d78110b0.jpg?1789556985
Inspired Tethermage,Green,{2}{G},3,Common,Creature — Elf Warrior,3,2,1.5,https://scryfall.com/card/fra/109/inspired-tethermage,https://cards.scryfall.io/normal/front/0/7/073f4998-a204-447b-93d5-746ae87fd6a1.jpg?1788878192
"Jiang Yanggu, Alone",Red,{4}{R},5,Uncommon,Legendary Creature — Human Berserker,4,4,1.5,https://scryfall.com/card/fra/246/jiang-yanggu-alone,https://cards.scryfall.io/normal/front/e/8/e8c1ce21-b77d-40bf-9ed1-478604e71f5f.jpg?1789014416
"Karn, Gilded Guardian",Multicolor (White/Blue/Black/Red/Green),{2/W}{2/U}{2/B}{2/R}{2/G},10,Rare,Legendary Artifact Creature — Golem,5,5,1.5,https://scryfall.com/card/fra/272/karn-gilded-guardian,https://cards.scryfall.io/normal/front/3/a/3abcae65-5b21-4c98-adad-34b8bc76ea3a.jpg?1789014541
Keeper of the Quiet Hour,Colorless,{3},3,Common,Artifact Creature — Chimera,3,2,1.5,https://scryfall.com/card/fra/171/keeper-of-the-quiet-hour,https://cards.scryfall.io/normal/front/b/6/b6331218-dbb8-44a9-8ba5-5fb1ab41c5c0.jpg?1788878239
Living Library,Colorless,{2},2,Common,Artifact Creature — Book Illusion,0,4,1.5,https://scryfall.com/card/fra/172/living-library,https://cards.scryfall.io/normal/front/5/d/5d4a8e5f-0024-4da3-a2f5-edb48b12e733.jpg?1789556949
"Loot, the Anomaly",Black,{2}{B},3,Uncommon,Legendary Creature — Beast Horror,-2,4,1.5,https://scryfall.com/card/fra/232/loot-the-anomaly,https://cards.scryfall.io/normal/front/4/f/4f6fd2fa-8bc8-4743-bbc8-b56475d64eff.jpg?1789568430
Medic's Kitesail,Colorless,{2},2,Common,Artifact — Equipment,,,1.5,https://scryfall.com/card/fra/173/medics-kitesail,https://cards.scryfall.io/normal/front/8/b/8b07409a-1dce-461d-95e4-1130521ff4c4.jpg?1789556945
Murmuring Volume,Colorless,{3},3,Common,Artifact — Book,,,1.5,https://scryfall.com/card/fra/174/murmuring-volume,https://cards.scryfall.io/normal/front/d/6/d68eab2e-89dd-4377-b7af-01512b1804a0.jpg?1789385977
"Pia, Aether Ascetic",Green,{2}{G},3,Uncommon,Legendary Creature — Human Druid,2,2,1.5,https://scryfall.com/card/fra/264/pia-aether-ascetic,https://cards.scryfall.io/normal/front/f/f/ff0bc30f-9d20-458e-808f-bdc2825905a5.jpg?1789387120
Predictive Preparations,White,{1}{W},2,Common,Sorcery,,,1.5,https://scryfall.com/card/fra/16/predictive-preparations,https://cards.scryfall.io/normal/front/5/0/50a0e5f0-3c39-4f16-9a73-eec8ef71f12e.jpg?1789556696
Rampart Hunter,Black,{3}{B},4,Common,Creature — Horror,3,3,1.5,https://scryfall.com/card/fra/60/rampart-hunter,https://cards.scryfall.io/normal/front/f/4/f4a80225-7459-4151-86bb-8fdea31c39a6.jpg?1789127211
Solve for Disappointment,Black,{1}{B},2,Common,Sorcery,,,1.5,https://scryfall.com/card/fra/67/solve-for-disappointment,https://cards.scryfall.io/normal/front/7/b/7beaa8c9-1a2c-4c88-b579-91e371d8d9e3.jpg?1788878155
Sphinx's Approach,Blue,{1}{U}{U},3,Common,Instant,,,1.5,https://scryfall.com/card/fra/41/sphinxs-approach,https://cards.scryfall.io/normal/front/f/4/f49be090-c745-40e5-bc1c-605b8d98acdf.jpg?1789644816
Tam's Resistance,Multicolor (Blue/Green),{1}{G/U},2,Common,Sorcery,,,1.5,https://scryfall.com/card/fra/153/tams-resistance,https://cards.scryfall.io/normal/front/b/3/b3d33df2-a77b-4c2e-ba7f-2cc9c1505f9b.jpg?1788878215
Tether Technician,Red,{4}{R},5,Common,Creature — Minotaur Artificer,4,5,1.5,https://scryfall.com/card/fra/94/tether-technician,https://cards.scryfall.io/normal/front/b/7/b75bbf46-a421-467a-9433-6cf22398a3a5.jpg?1789556839
Tethermage's Advantage,Green,{G},1,Common,Instant,,,1.5,https://scryfall.com/card/fra/117/tethermages-advantage,https://cards.scryfall.io/normal/front/3/8/38589a7c-9cfb-4bcc-845e-9dc205095853.jpg?1789129937
"Tetsuko Umezawa, Fugitive",Blue,{1}{U},2,Uncommon,Legendary Creature — Human Rogue,1,3,1.5,https://scryfall.com/card/fra/221/tetsuko-umezawa-fugitive,https://cards.scryfall.io/normal/front/3/9/3983d71e-3c23-4b36-b331-08e0707d8245.jpg?1789127702
Theoretical Necromancer,Black,{2}{B},3,Common,Creature — Vampire Warlock,4,1,1.5,https://scryfall.com/card/fra/69/theoretical-necromancer,https://cards.scryfall.io/normal/front/e/3/e36a7908-1e22-494b-adb4-e72ac0974d62.jpg?1789556734
"Tomik, Izzet Sparkmage",Red,{1}{R},2,Uncommon,Legendary Creature — Human Wizard,1,2,1.5,https://scryfall.com/card/fra/253/tomik-izzet-sparkmage,https://cards.scryfall.io/normal/front/5/c/5c5afd5f-6f37-4c3e-83f0-68fdcea98810.jpg?1789729773
Void Extrapolator // Omit Variables,Black,{1}{B},2,Common,Creature — Aetherborn Warlock,2,2,1.5,https://scryfall.com/card/fra/70/void-extrapolator-omit-variables,https://cards.scryfall.io/normal/front/0/e/0eae2efb-bf25-48ee-9c07-9098008110ad.jpg?1789556787
Way of the Deathbringer,Black,{2}{B},3,Uncommon,Legendary Enchantment,,,1.5,https://scryfall.com/card/fra/238/way-of-the-deathbringer,https://cards.scryfall.io/normal/front/1/2/12dd46b2-e892-4660-b120-55766fd4d878.jpg?1789729576
Way of the Mentor,White,{2}{W},3,Uncommon,Legendary Enchantment,,,1.5,https://scryfall.com/card/fra/208/way-of-the-mentor,https://cards.scryfall.io/normal/front/1/a/1a59d5b1-12d6-486b-bd29-ca371359addd.jpg?1789729554
Way of the Mind Sculptor,Blue,{4}{U},5,Uncommon,Legendary Enchantment,,,1.5,https://scryfall.com/card/fra/224/way-of-the-mind-sculptor,https://cards.scryfall.io/normal/front/5/8/5838af68-66c3-4fe8-ab89-0a1721b0cfeb.jpg?1789729565
Way of the Paradox,Green,{2}{G},3,Uncommon,Legendary Enchantment,,,1.5,https://scryfall.com/card/fra/267/way-of-the-paradox,https://cards.scryfall.io/normal/front/9/8/98dc5470-507a-4364-8480-42607255e56c.jpg?1789729606
Whiplash Wordsmith // Vicious Verse,Multicolor (Black/Red),{3}{B/R},4,Common,Creature — Vampire Sorcerer,3,3,1.5,https://scryfall.com/card/fra/164/whiplash-wordsmith-vicious-verse,https://cards.scryfall.io/normal/front/8/0/8096bc9a-a610-448f-bef2-7230e17e9777.jpg?1789127692
"Winter, Team Player",Red,{4}{R},5,Uncommon,Legendary Creature — Human Warrior,3,3,1.5,https://scryfall.com/card/fra/256/winter-team-player,https://cards.scryfall.io/normal/front/d/f/df8713cd-3f4b-43ef-adbd-e37c2617c617.jpg?1789128020
"Winter, Tormented Loner",Black,{2}{B},3,Uncommon,Legendary Creature — Human Warlock,0,3,1.5,https://scryfall.com/card/fra/240/winter-tormented-loner,https://cards.scryfall.io/normal/front/9/6/9670f754-f41f-45ac-8e8b-025ad2c0f66b.jpg?1789127724
Wrecking Gecko,Green,{4}{G},5,Common,Artifact Creature — Lizard Construct,5,5,1.5,https://scryfall.com/card/fra/120/wrecking-gecko,https://cards.scryfall.io/normal/front/3/d/3d693cb0-681e-480a-8f70-07e94c39225c.jpg?1789385843
"Yargle, Glutton of Urborg",Black,{4}{B},5,Uncommon,Legendary Creature — Frog Spirit,9,3,1.5,https://scryfall.com/card/fra/241/yargle-glutton-of-urborg,https://cards.scryfall.io/normal/front/0/4/04c816fb-5951-4db1-8834-ed3f0b36bfe1.jpg?1789127722
"Yargle, Goliath of Otaria",Blue,{4}{U},5,Uncommon,Legendary Creature — Frog Spirit,3,9,1.5,https://scryfall.com/card/fra/225/yargle-goliath-of-otaria,https://cards.scryfall.io/normal/front/f/4/f45ba926-6496-4bd4-96eb-663946d56bbf.jpg?1789128043
"Yoshimaru, Beloved Companion",White,{2}{W},3,Uncommon,Legendary Creature — Dog,2,2,1.5,https://scryfall.com/card/fra/209/yoshimaru-beloved-companion,https://cards.scryfall.io/normal/front/3/8/384f3b7d-8d7f-41bf-bebd-64e8babe7fca.jpg?1789470881
Entrust the Spark,Multicolor (Blue/Green),{3}{G}{U},5,Rare,Sorcery,,,1.0,https://scryfall.com/card/fra/131/entrust-the-spark,https://cards.scryfall.io/normal/front/c/a/ca894d25-b9fc-4cd6-8746-70d8c2868721.jpg?1789614779
Eye of Jace,Colorless,{1},1,Uncommon,Artifact,,,1.0,https://scryfall.com/card/fra/170/eye-of-jace,https://cards.scryfall.io/normal/front/0/e/0edba64a-39cf-4a8d-ba20-4f7da10b6c3d.jpg?1789614864
Germinate Recruits,White,{2}{W},3,Rare,Instant,,,1.0,https://scryfall.com/card/fra/9/germinate-recruits,https://cards.scryfall.io/normal/front/1/b/1b5d7d19-b32a-4786-ae9a-00da5e6658ad.jpg?1789644810
"Karn, Argent Defender",Colorless,{2},2,Rare,Legendary Artifact Creature — Golem,1,3,1.0,https://scryfall.com/card/fra/279/karn-argent-defender,https://cards.scryfall.io/normal/front/1/e/1ebbbddb-2dc3-4194-b72b-13bcebe2ab89.jpg?1788878301
Loyal Tutor,White,{W},1,Rare,Instant,,,1.0,https://scryfall.com/card/fra/14/loyal-tutor,https://cards.scryfall.io/normal/front/4/9/490dae91-94ce-42a9-a11f-6c5e77c4e486.jpg?1788878096
Return to the Light Realms,White,{7}{W}{W},9,Mythic,Sorcery,,,1.0,https://scryfall.com/card/fra/20/return-to-the-light-realms,https://cards.scryfall.io/normal/front/9/e/9e72f397-2384-40f1-882b-f627664d97df.jpg?1788878107
"Tam, the Possibility",Multicolor (Blue/Green),{1}{G}{U},3,Rare,Legendary Creature — Gorgon Wizard,2,4,1.0,https://scryfall.com/card/fra/276/tam-the-possibility,https://cards.scryfall.io/normal/front/6/5/6529d399-677e-45a6-ac3e-12a0b10f6c37.jpg?1789644886
Way of the Necromancer,Black,{1}{B},2,Uncommon,Legendary Enchantment,,,1.0,https://scryfall.com/card/fra/239/way-of-the-necromancer,https://cards.scryfall.io/normal/front/a/0/a0ff9689-ea49-4fff-b37c-4abbaeb0f73d.jpg?1789729526
Way of the Pyromancer,Red,{1}{R},2,Uncommon,Legendary Enchantment,,,1.0,https://scryfall.com/card/fra/254/way-of-the-pyromancer,https://cards.scryfall.io/normal/front/c/1/c1a00020-7c14-4503-a057-5763704bb83e.jpg?1788878311
Cruel Calculations,Blue,{2}{U},3,Rare,Sorcery,,,0.5,https://scryfall.com/card/fra/26/cruel-calculations,https://cards.scryfall.io/normal/front/f/7/f76c4d8e-3e1f-4264-99af-1b8adb9a06be.jpg?1789127482
Essence Burn,Red,{1}{R},2,Uncommon,Instant,,,0.5,https://scryfall.com/card/fra/82/essence-burn,https://cards.scryfall.io/normal/front/d/2/d2e958de-70de-4156-8f9b-b2c0c1ba704a.jpg?1789470825
Extrapolate the Impossible,Black,{1}{B},2,Rare,Sorcery,,,0.5,https://scryfall.com/card/fra/55/extrapolate-the-impossible,https://cards.scryfall.io/normal/front/1/7/17fb6538-493c-41aa-ad13-3e63d3ad3317.jpg?1789729624
Flourishing Grapple,Green,{G},1,Uncommon,Instant,,,0.5,https://scryfall.com/card/fra/102/flourishing-grapple,https://cards.scryfall.io/normal/front/f/7/f71958e9-6d6d-4393-8b49-567103b50877.jpg?1789470852
Identity Echo,Red,{2}{R},3,Rare,Enchantment,,,0.5,https://scryfall.com/card/fra/87/identity-echo,https://cards.scryfall.io/normal/front/e/6/e600b33b-8916-43dd-95d3-d7cbf874933d.jpg?1789385968
Precise Redaction,Blue,{1}{U},2,Uncommon,Instant,,,0.5,https://scryfall.com/card/fra/36/precise-redaction,https://cards.scryfall.io/normal/front/9/2/9244efad-35ab-45c0-b173-4bc68276cb67.jpg?1789470790
Refute Destiny,White,{1}{W},2,Uncommon,Sorcery,,,0.5,https://scryfall.com/card/fra/18/refute-destiny,https://cards.scryfall.io/normal/front/2/c/2c588954-c6eb-4aae-a2fa-0651ccf2d90a.jpg?1789470778
Roiling Canopy,Colorless,,0,Rare,Land,,,0.5,https://scryfall.com/card/fra/187/roiling-canopy,https://cards.scryfall.io/normal/front/d/b/db61361b-bd12-453e-abc2-bbe09b66e3d9.jpg?1789514074
Terminal Criticism,Black,{1}{B},2,Uncommon,Instant,,,0.5,https://scryfall.com/card/fra/68/terminal-criticism,https://cards.scryfall.io/normal/front/7/e/7ebd7e38-b27c-4c6e-aaea-e8ee5ba5e5df.jpg?1789470810
Gardenize,Green,{1}{G}{G},3,Rare,Enchantment,,,0.0,https://scryfall.com/card/fra/103/gardenize,https://cards.scryfall.io/normal/front/9/3/930b89c3-4433-48de-829f-20fc3dbfced9.jpg?1789644837
Omnipresence,Green,{5}{G}{G}{G},8,Mythic,Enchantment,,,0.0,https://scryfall.com/card/fra/110/omnipresence,https://cards.scryfall.io/normal/front/e/a/eaf9dc77-c83b-49cf-84be-6bd791cb925e.jpg?1789470856
