Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
Solarium Sentry,Solarium Sentry,Multicolor (White/Green),WG,WG,{G}{W},2,Rare,Creature — Cat Soldier,3,3,,normal,,,,3.0,,"I remember when people freaked out because Watchwolf existed. Now we get that card with a relevant ability stapled on and everyone just shrugs because apparently this is what Limited looks like now.

You obviously want life gain triggers to really maximize Solarium Sentry, but you don’t need to go completely overboard. Even a little incidental life gain can start adding up when the body is already above rate before any of the synergy kicks in.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,148,https://scryfall.com/card/fra/148/solarium-sentry,https://cards.scryfall.io/normal/front/1/e/1ef12dcf-df50-4da6-8c4c-e2937ba9698e.jpg?1789127651,1ef12dcf-df50-4da6-8c4c-e2937ba9698e
Solitary Cell,Solitary Cell,Multicolor (White/Red),WR,WR,{R}{W},2,Rare,Artifact,,,,normal,,,,3.0,,"The second half of this card might as well be blank in about 90% of situations, so the grade is almost entirely riding on that first ability.

Two mana to remove something that costs three or less is a perfectly reasonable deal in Limited. The only real knock is that being two colors makes it a little harder to slot into just any deck.

Nothing flashy here, but efficient removal is efficient removal.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,149,https://scryfall.com/card/fra/149/solitary-cell,https://cards.scryfall.io/normal/front/5/1/5142bbb6-194c-4b12-b11a-1a21c9fe81a6.jpg?1788260690,5142bbb6-194c-4b12-b11a-1a21c9fe81a6
Stingerquill Charm,Stingerquill Charm,Multicolor (Black/Red),BR,BR,{B}{R},2,Uncommon,Instant,,,,normal,,,,3.5,,"Another busted Charm where all three modes are actually good. What a concept.

Lightning Strike is always going to be a great card. First strike plus deathtouch can turn basically any random creature into a removal spell, and it gets especially nasty when your opponent tries to gang block and you do something so disgusting that you better put the kids to bed first.

And if none of that is what you need, you can always just poop out a 2/2 with haste and add to the board.

There really isn’t a bad option here. This one is going to sting.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,150,https://scryfall.com/card/fra/150/stingerquill-charm,https://cards.scryfall.io/normal/front/8/1/81733ff7-e611-43ee-bf38-6bb700676017.jpg?1789127652,81733ff7-e611-43ee-bf38-6bb700676017
Stingerquill Voxmancer // Vicious Verse,Stingerquill Voxmancer,Multicolor (Black/Red),BR,BR,{B/R},1,Uncommon,Creature — Goblin Sorcerer,1,2,,prepare,Vicious Verse,{B/R},Sorcery,2.5,,"This isn’t exactly going to beat your opponent down on its own, but it can usually sneak in a hit or two early.

More importantly, it gives you a pile of triggers for dealing noncombat damage to your opponent. It even gives aggressive decks a little extra reach when they’re struggling to close things out. And if your opponent decides to spend a real removal spell on your one-drop, that’s a trade you’re probably pretty happy to make.

Especially when there’s a decent chance you picked this thing up on the wheel.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,151,https://scryfall.com/card/fra/151/stingerquill-voxmancer-vicious-verse,https://cards.scryfall.io/normal/front/8/4/84b1c268-3b8a-41b6-92e3-a2ce0cc3d738.jpg?1788329418,84b1c268-3b8a-41b6-92e3-a2ce0cc3d738
Stinging Vitriol,Stinging Vitriol,Multicolor (Black/Red),BR,BR,{B}{R},2,Rare,Sorcery,,,,normal,,,,3.0,,"I’m sure there are going to be games where the two damage actually matters, and it’s nice that this still does something when you rip it off the top after your opponent has already emptied their hand.

The real reason I’m interested, though, is much simpler: it’s a two-mana catch-all discard spell.

Getting to strip basically anything before it becomes a problem is already strong. The random burn is just a little extra sting on top.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,152,https://scryfall.com/card/fra/152/stinging-vitriol,https://cards.scryfall.io/normal/front/a/7/a7d78297-7411-4ec5-8931-a25146869d5b.jpg?1789385971,a7d78297-7411-4ec5-8931-a25146869d5b
Tam's Resistance,Tam's Resistance,Multicolor (Blue/Green),UG,UG,{1}{G/U},2,Common,Sorcery,,,,normal,,,,1.5,,"If you’re actively looking for more ways to Empower Jace, then this is something you can talk yourself into playing.

Otherwise, even with the cantrip attached, a sorcery-speed +1/+1 effect just isn’t really a modern Limited card anymore.

The Jace synergy is doing basically all of the heavy lifting here. Without it, this is the kind of card that makes you wonder what year the design file came from.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,153,https://scryfall.com/card/fra/153/tams-resistance,https://cards.scryfall.io/normal/front/b/3/b3d33df2-a77b-4c2e-ba7f-2cc9c1505f9b.jpg?1788878215,b3d33df2-a77b-4c2e-ba7f-2cc9c1505f9b
Tenured Tethermage,Tenured Tethermage,Multicolor (Red/Green),RG,RG,{1}{R}{G},3,Rare,Creature — Human Artificer,1,1,,normal,,,,3.5,,"I like this as a ramp spell that just so happens to toss a land into your graveyard, which is actually a feature in this set instead of an unfortunate side effect.

The fact that it can start growing itself afterward is a nice bonus, but it begins life absolutely teeny tiny. That leaves it extremely vulnerable to basically anything your opponent feels like pointing at it.

If it survives, though, you’re getting ramp, graveyard synergy, and a threat that can eventually grow into something relevant. That’s a pretty solid package for three mana.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,154,https://scryfall.com/card/fra/154/tenured-tethermage,https://cards.scryfall.io/normal/front/1/7/1703306d-6a3d-4ab8-bf58-a9992236ef0f.jpg?1789385792,1703306d-6a3d-4ab8-bf58-a9992236ef0f
Theorix Charm,Theorix Charm,Multicolor (Blue/Black),UB,UB,{U}{B},2,Uncommon,Instant,,,,normal,,,,2.5,,"Another solid Charm with multiple decent options. I still don’t know what Konstrari Charm did to deserve its fate, but apparently somebody on the design team had beef.

I do think the first mode should have just been Quench instead of limiting it to noncreature spells. The -2/-2 mode sort of covers you against smaller creatures, but you’re still hanging out to dry against anything bigger or anything with a nasty ETB.

Even the mill-three-and-draw mode is perfectly respectable because it basically gets you four cards closer to Threshold while replacing itself.

Nothing here is completely busted, but having three useful options adds up to a card I’m pretty happy playing.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,155,https://scryfall.com/card/fra/155/theorix-charm,https://cards.scryfall.io/normal/front/2/8/2835c9aa-0904-44db-8da2-e8c4e04201aa.jpg?1789127659,2835c9aa-0904-44db-8da2-e8c4e04201aa
Theorix Metamage // Omit Variables,Theorix Metamage,Multicolor (Blue/Black),UB,UB,{2}{U/B},3,Common,Creature — Shade Wizard,2,3,,prepare,Omit Variables,{U/B},Sorcery,2.0,,"How much the self-mill matters is really going to depend on whether your deck has other ways to reach Threshold and enough payoffs to care once you get there.

A 3/3 flyer for three mana is already a solid deal, even if you have to jump through a minor hoop to turn it on.

Basically, I’m looking at this as closer to a 2.5 in graveyard decks such as Dimir and a 1.5 almost everywhere else. Split the difference, slap a 2.0 on it, and call it a day.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,156,https://scryfall.com/card/fra/156/theorix-metamage-omit-variables,https://cards.scryfall.io/normal/front/f/b/fb6bad96-841d-4738-8e62-92f346f914fd.jpg?1789556930,fb6bad96-841d-4738-8e62-92f346f914fd
Twinned Vision,Twinned Vision,Multicolor (Blue/Red),UR,UR,{1}{U/R},2,Common,Instant,,,,normal,,,,2.0,,"Think Twice was always a perfectly reasonable card and even managed to see some Constructed play back in the day. This is basically that with a rummage stapled on for a little extra value.

It’s not doing anything flashy, but spell-heavy decks are going to appreciate the cheap card flow.

I can see the vision here. It’s just not exactly 20/20.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,157,https://scryfall.com/card/fra/157/twinned-vision,https://cards.scryfall.io/normal/front/5/5/55f85984-0137-4899-8993-bbc8c4794d33.jpg?1789556940,55f85984-0137-4899-8993-bbc8c4794d33
Twisted Fates,Twisted Fates,Multicolor (White/Black),WB,WB,{2}{W}{W}{B},5,Uncommon,Sorcery,,,,normal,,,,3.5,,"Kill anything and pump your whole team? Yes please.

Don’t get it twisted, this card is sick. Removal is already premium, and stapling a team-wide combat boost onto it can turn a normal exchange into an absolute beating.

I’m starting at 3.5, but this feels like the kind of card that could creep up to a 4.0 once we actually get a couple weeks of games in.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,158,https://scryfall.com/card/fra/158/twisted-fates,https://cards.scryfall.io/normal/front/c/7/c7c0765d-38fd-4d7b-bfb4-49b10ff5939b.jpg?1789614785,c7c0765d-38fd-4d7b-bfb4-49b10ff5939b
Uldaros Theorix,Uldaros Theorix,Multicolor (Blue/Black),UB,UB,{3}{U}{B}{B},6,Mythic,Legendary Creature — Elder Sphinx,5,5,,normal,,,,4.5,,"It shouldn’t be particularly difficult to stock your graveyard in Dimir, and this gives you some premium options for turning all that junk into actual value.

Getting an extra dude and a removal spell tacked onto an already massive 5/5 flyer sounds like a pretty damn effective way to flip a game completely in your favor.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,159,https://scryfall.com/card/fra/159/uldaros-theorix,https://cards.scryfall.io/normal/front/a/7/a7ad622a-42ff-48fa-ae95-12e0a5bd9387.jpg?1788878220,a7ad622a-42ff-48fa-ae95-12e0a5bd9387
Vigorbloom Charm,Vigorbloom Charm,Multicolor (White/Green),WG,WG,{G}{W},2,Uncommon,Instant,,,,normal,,,,3.5,,"Charms are good, mmkay.

Protecting a key creature, cycling while picking up some life in the colors that actually care about lifegain triggers, or tossing on a +1/+1 counter and fighting something are all pretty great things to be doing for only two mana.

None of the modes are wasted, and that kind of flexibility is exactly what makes these Charms so strong.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,160,https://scryfall.com/card/fra/160/vigorbloom-charm,https://cards.scryfall.io/normal/front/2/b/2b198e10-b507-4314-a29c-a219f06e48b7.jpg?1789127656,2b198e10-b507-4314-a29c-a219f06e48b7
Vigorbloom Vanguard // Seed Suture,Vigorbloom Vanguard,Multicolor (White/Green),WG,WG,{1}{G/W},2,Uncommon,Creature — Troll Druid,2,2,,prepare,Seed Suture,{G/W},Sorcery,2.5,,"This rating might look a little high at first, but I think the whole is better than the sum of its parts.

A generic bear isn’t exactly something to write home about these days, but for just one more mana you can turn it into a 3/3 with vigilance. Better yet, that +1/+1 counter can go on any creature, which can seriously mess with combat math.

Then, just to squeeze out a little more value, you gain a life and trigger one of the many life-gain payoffs floating around the set.

None of those things are amazing on their own, but together they make this a really solid Limited card.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,161,https://scryfall.com/card/fra/161/vigorbloom-vanguard-seed-suture,https://cards.scryfall.io/normal/front/a/c/acefc515-bf97-4dc0-b0f7-ae8ae5a61671.jpg?1788329423,acefc515-bf97-4dc0-b0f7-ae8ae5a61671
Vindictive Triumph,Vindictive Triumph,Multicolor (White/Black),WB,WB,{W}{B}{B},3,Rare,Instant,,,,normal,,,,2.5,,"This is some pretty awkward three-mana removal to cast, even if it does hit almost anything.

The bonus mode asks for a lot more to really shine. You need to hit something that costs three or less, and ideally it has a useful ETB so you’re actually getting meaningful value out of bringing it back.

The token even enters tapped, so there aren’t any cute surprise-blocking blowouts hiding here.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,162,https://scryfall.com/card/fra/162/vindictive-triumph,https://cards.scryfall.io/normal/front/a/8/a803dbe7-153a-4e92-ad4d-c2babebe003d.jpg?1789127665,a803dbe7-153a-4e92-ad4d-c2babebe003d
Warrior's Blades,Warrior's Blades,Multicolor (White/Red),WR,WR,{2}{R}{W},4,Uncommon,Artifact — Equipment,,,,normal,,,,2.0,,"We already saw with Crude Bent Blade how effective Equipment can be when it kills something on the way in. The problem here is that Warrior's Blades costs one more mana to cast and one more to equip, and those little taxes add up quickly.

On the plus side, this is basically casting Lightning Helix instead of Diabolic Edict, which is usually going to work in this card’s favor. You get to choose what dies while also picking up some life.

Still, the extra mana is enough to keep me from getting too excited. I’m fine playing one, but I definitely don’t want my deck turning into a Warrior's Blades outlet store.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,163,https://scryfall.com/card/fra/163/warriors-blades,https://cards.scryfall.io/normal/front/c/6/c63d5b0e-ee72-42ed-aa7e-484ba84507cd.jpg?1789007648,c63d5b0e-ee72-42ed-aa7e-484ba84507cd
Whiplash Wordsmith // Vicious Verse,Whiplash Wordsmith,Multicolor (Black/Red),BR,BR,{3}{B/R},4,Common,Creature — Vampire Sorcerer,3,3,,prepare,Vicious Verse,{B/R},Sorcery,1.5,,"It’s not particularly hard to deal noncombat damage in Rakdos, and this even gives you its own one-shot enabler if you want to give it haste and get swinging immediately.

The problem is that we’re all the way up at five mana for that option, and that’s a little more than I want to pay for what this is ultimately doing. Expensive cards need to earn their keep, and this one is mostly showing up because it knows the right people.

It’s a reasonable role player in Rakdos, especially if you have plenty of noncombat damage triggers, but I don’t see it getting much work anywhere else.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,164,https://scryfall.com/card/fra/164/whiplash-wordsmith-vicious-verse,https://cards.scryfall.io/normal/front/8/0/8096bc9a-a610-448f-bef2-7230e17e9777.jpg?1789127692,8096bc9a-a610-448f-bef2-7230e17e9777
Woodwork Prodigy // Soul Tether,Woodwork Prodigy,Multicolor (Red/Green),RG,RG,{2}{R/G},3,Uncommon,Creature — Cat Druid,3,3,,prepare,Soul Tether,{2}{R/G},Sorcery,2.5,,"This can certainly go up in value if your deck is looking to ramp or has a good mana sink to dump all that extra mana into.

I also really appreciate that the tokens don’t enter tapped, because that effectively makes them cost two mana instead of forcing you to pay three and wait around before they actually do anything.

It’s not flashy, but in the right deck this can quietly do a lot of useful work.",Multicolor,https://mtgazone.com/reality-fracture-fra-limited-set-review-multicolor/,165,https://scryfall.com/card/fra/165/woodwork-prodigy-soul-tether,https://cards.scryfall.io/normal/front/7/d/7d17f7e3-7b63-4674-9024-4fd1827f40ec.jpg?1788329429,7d17f7e3-7b63-4674-9024-4fd1827f40ec
Afterthought Sentry,Afterthought Sentry,Colorless,C,C,{2},2,Common,Artifact Creature — Gargoyle,2,2,,normal,,,,2.5,,"I fully expect to catch some heat for this grade, but this feels pretty far above the curve for a colorless two-drop.

Common artifact creatures are usually intentionally a little crappy so they can serve as emergency filler for whatever deck desperately needs another playable. This honestly feels like the kind of card that would normally have defender slapped on it just to remind you not to get too excited.

Instead, you get a perfectly reasonable bear that can gain flying for a manageable cost. Two-drops that are useful early and still have something relevant to do later tend to overperform, and getting all of that without committing to a color is a pretty big deal.

The second ability is also legitimately useful in this format with all the graveyard shenanigans floating around.

Maybe 2.5 ends up looking aggressive, but I have a feeling this little pile of colorless cardboard is going to make a lot more decks than people expect.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,166,https://scryfall.com/card/fra/166/afterthought-sentry,https://cards.scryfall.io/normal/front/4/d/4d4b3bf7-a149-4099-b97d-4e36a87dfa60.jpg?1789385875,4d4b3bf7-a149-4099-b97d-4e36a87dfa60
Archive Arbiter,Archive Arbiter,Colorless,C,C,{6},6,Uncommon,Artifact Creature — Sphinx,4,4,,normal,,,,2.0,,"This is a great example of what I was talking about with Afterthought Sentry. It’s perfectly serviceable, but it feels like it either wants to cost one less mana or come with a slightly beefier body.

Not being able to hit creatures or lands is a bit of a frowny face, but there are still plenty of good targets floating around. Planeswalkers, Memory Trap, and other annoying noncreature permanents can all get lit up by this.

If you nail something important, this feels great. If you’re just playing it for a little life and a flyer, though, it starts to feel like you paid the artifact creature tax.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,167,https://scryfall.com/card/fra/167/archive-arbiter,https://cards.scryfall.io/normal/front/0/2/024bce1e-a5f3-4292-bc17-d0355a5d65e1.jpg?1789614867,024bce1e-a5f3-4292-bc17-d0355a5d65e1
"Codie, Ravenous Codex","Codie, Ravenous Codex",Colorless,C,WUBRG,{3},3,Rare,Legendary Artifact Creature — Book Construct,1,4,,normal,,,,1.5,,"I’m not saying there won’t be five-color soup decks in this format because I can assure you there absolutely will be. The problem is that Codie wants you to have the whole damn pantry.

You need this, access to all five colors, and enough creatures with Prepared to really start abusing what it’s doing. That’s a pretty specific grocery list.

You can still run it as a 1/4 for three if you have multiple Prepared creatures and hope to squeeze out some extra triggers along the way, but that version is a whole lot less exciting.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,168,https://scryfall.com/card/fra/168/codie-ravenous-codex,https://cards.scryfall.io/normal/front/c/3/c3192390-1518-49fc-8716-f2c7a0384f39.jpg?1789646811,c3192390-1518-49fc-8716-f2c7a0384f39
The Echoverse Fulcrum,The Echoverse Fulcrum,Colorless,C,C,{2},2,Mythic,Legendary Artifact,,,,normal,,,,4.0,,"It is a colorless sweeper, so obviously there were going to be some strings attached. Even at mythic, they weren’t just going to hand every deck a free Wrath and call it a day.

If you want to surprise your opponent with it, the full package is going to cost you seven mana, which is a hell of a lot for a sweeper.

If you want to loot early or spread the cost across two turns, then you’re basically putting up a giant neon sign that says “PLEASE STOP COMMITTING CREATURES TO THE BOARD.”

The flexibility is still fantastic and being colorless is a huge deal, but every mode makes you pay for that privilege somehow.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,169,https://scryfall.com/card/fra/169/the-echoverse-fulcrum,https://cards.scryfall.io/normal/front/d/7/d71d250f-c0e0-44b2-877c-76f3bcab4f34.jpg?1789385887,d71d250f-c0e0-44b2-877c-76f3bcab4f34
Eye of Jace,Eye of Jace,Colorless,C,C,{1},1,Uncommon,Artifact,,,,normal,,,,1.0,,"I need to be pretty deep in the sauce on graveyard value before I’m interested in playing this.

Surveiling every turn is certainly useful, but it’s not automatically worth spending an entire card on, even when the setup is cheap.

The part that really annoys me is that the second ability isn’t optional. Draining for two is rarely going to be better than just continuing to surveil and sculpt your draws over the course of the game.

If my deck is absolutely begging to fill the graveyard, I’ll consider it. Otherwise, Jace can creep on someone else with his eye.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,170,https://scryfall.com/card/fra/170/eye-of-jace,https://cards.scryfall.io/normal/front/0/e/0edba64a-39cf-4a8d-ba20-4f7da10b6c3d.jpg?1789614864,0edba64a-39cf-4a8d-ba20-4f7da10b6c3d
Keeper of the Quiet Hour,Keeper of the Quiet Hour,Colorless,C,C,{3},3,Common,Artifact Creature — Chimera,3,2,,normal,,,,1.5,,"I’m really tempted to give this the extra half point and bump it up to a 2.0, but two toughness is a pretty rough place to be on a three-drop.

If this Empowered Jace for just one more, we’d be having a completely different conversation. Getting him to three immediately would let you grip an extra card right away and push this dangerously close to busted-common territory.

As printed, it gets a lot better if you already have other ways to Empower Jace and can bridge that gap. There’s definitely value here, but the fragile body and being one counter short keep me from going any higher.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,171,https://scryfall.com/card/fra/171/keeper-of-the-quiet-hour,https://cards.scryfall.io/normal/front/b/6/b6331218-dbb8-44a9-8ba5-5fb1ab41c5c0.jpg?1788878239,b6331218-dbb8-44a9-8ba5-5fb1ab41c5c0
Living Library,Living Library,Colorless,C,C,{2},2,Common,Artifact Creature — Book Illusion,0,4,,normal,,,,1.5,,"This is certainly one obnoxious way to tell aggressive decks to calm down.

Early on, it’s basically a two-mana brick wall that clogs up the ground. Later, it can cash itself in to deal with their best creature or planeswalker, which is a pretty respectable second career for something that started life as a speed bump.

The problem is that aggressive decks want absolutely nothing to do with this. If you’re trying to turn creatures sideways and end the game quickly, Living Library is mostly just sitting there reading while everyone else is fighting.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,172,https://scryfall.com/card/fra/172/living-library,https://cards.scryfall.io/normal/front/5/d/5d4a8e5f-0024-4da3-a2f5-edb48b12e733.jpg?1789556949,5d4a8e5f-0024-4da3-a2f5-edb48b12e733
Medic's Kitesail,Medic's Kitesail,Colorless,C,C,{2},2,Common,Artifact — Equipment,,,,normal,,,,1.5,,"This really needed to be one mana cheaper to equip or give you a free equip the turn it enters. Those tiny differences matter a ton when it comes to Equipment because paying one extra mana over and over adds up fast.

As printed, I’m happy enough to play this in a deck loaded with life gain triggers where the extra value actually matters.

Everywhere else, I’m fading it pretty hard.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,173,https://scryfall.com/card/fra/173/medics-kitesail,https://cards.scryfall.io/normal/front/8/b/8b07409a-1dce-461d-95e4-1130521ff4c4.jpg?1789556945,8b07409a-1dce-461d-95e4-1130521ff4c4
Murmuring Volume,Murmuring Volume,Colorless,C,C,{3},3,Common,Artifact — Book,,,,normal,,,,1.5,,"This grade is mostly a reminder that I’m rating cards based on how they fit into the average deck.

A whole lot of decks have absolutely no interest in playing a Manalith, even if this one can rummage away whatever garbage you’re stuck with later.

Five-color soup decks and slower control piles are a completely different story. Those decks will happily scoop this up for the fixing, and the rummage gives it something useful to do once you stop caring about the extra mana.

Pretty mediocre for most decks. Quietly important for the ones that actually want it.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,174,https://scryfall.com/card/fra/174/murmuring-volume,https://cards.scryfall.io/normal/front/d/6/d68eab2e-89dd-4377-b7af-01512b1804a0.jpg?1789385977,d68eab2e-89dd-4377-b7af-01512b1804a0
Dedicated Commons,Dedicated Commons,Colorless,C,WR,,0,Common,Land,,,,normal,,,,2.5,Group rating for 'Planeswalker Lands',"By now, you already know the value of a dual land in Limited. If it’s in your colors or helps enable a splash, you’re taking it over random filler while still passing it for anything actually strong.

Normally, requiring a planeswalker to be untapped would make the extra ability pretty unreliable. In Reality Fracture, though, that hurdle is about as low as it gets thanks to Empower Jace giving almost every deck access to a planeswalker.

That makes these a little more than your average fixing lands, even if you still shouldn’t be taking them over real power.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,175,https://scryfall.com/card/fra/175/dedicated-commons,https://cards.scryfall.io/normal/front/3/2/3223e5db-5cc4-42f9-ae9e-ff58abc7c390.jpg?1789556950,3223e5db-5cc4-42f9-ae9e-ff58abc7c390
Deserted Beach,Deserted Beach,Colorless,C,WU,,0,Rare,Land,,,,normal,,,,3.0,Group rating for 'Rare Slow Lands',"These are going to enter untapped pretty reliably once you’re past the first couple of turns.

Even on turn one, the downside is barely a downside because most Limited decks aren’t exactly overflowing with one-drops they’re desperate to cast.

Good fixing with very little real cost attached is always something I’m happy to pick up, especially if it helps support a splash.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,176,https://scryfall.com/card/fra/176/deserted-beach,https://cards.scryfall.io/normal/front/5/6/56dae4c4-3e71-4a32-979b-4e26d9c9e96c.jpg?1788878239,56dae4c4-3e71-4a32-979b-4e26d9c9e96c
Fatehold Annex,Fatehold Annex,Colorless,C,WU,,0,Common,Land,,,,normal,,,,2.5,Group rating for 'Planeswalker Lands',"By now, you already know the value of a dual land in Limited. If it’s in your colors or helps enable a splash, you’re taking it over random filler while still passing it for anything actually strong.

Normally, requiring a planeswalker to be untapped would make the extra ability pretty unreliable. In Reality Fracture, though, that hurdle is about as low as it gets thanks to Empower Jace giving almost every deck access to a planeswalker.

That makes these a little more than your average fixing lands, even if you still shouldn’t be taking them over real power.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,177,https://scryfall.com/card/fra/177/fatehold-annex,https://cards.scryfall.io/normal/front/5/1/5140f962-62f3-40fd-a322-44896c7e2613.jpg?1789556955,5140f962-62f3-40fd-a322-44896c7e2613
Formidable Commons,Formidable Commons,Colorless,C,BG,,0,Common,Land,,,,normal,,,,2.5,Group rating for 'Planeswalker Lands',"By now, you already know the value of a dual land in Limited. If it’s in your colors or helps enable a splash, you’re taking it over random filler while still passing it for anything actually strong.

Normally, requiring a planeswalker to be untapped would make the extra ability pretty unreliable. In Reality Fracture, though, that hurdle is about as low as it gets thanks to Empower Jace giving almost every deck access to a planeswalker.

That makes these a little more than your average fixing lands, even if you still shouldn’t be taking them over real power.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,178,https://scryfall.com/card/fra/178/formidable-commons,https://cards.scryfall.io/normal/front/e/6/e6ca6c3e-f145-42d6-8a17-90770c15afaf.jpg?1789556960,e6ca6c3e-f145-42d6-8a17-90770c15afaf
Hall of Echoes,Hall of Echoes,Colorless,C,C,,0,Rare,Land,,,,normal,,,,2.5,,"The cost of putting a colorless land in your deck is very real unless your mana base already has enough fixing to absorb it.

If you’re comfortably two colors with a couple of duals or other fixing lands, though, this goes up significantly. Getting an actual creature out of a land slot has a ton of value, especially when you’re flooding out and would otherwise be drawing blanks.

You just need to make sure your mana base can actually afford the luxury.

As the old saying goes: if you have to ask, you probably can’t afford it.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,179,https://scryfall.com/card/fra/179/hall-of-echoes,https://cards.scryfall.io/normal/front/4/a/4a771010-b397-4849-ac9b-08e4dd5d6a72.jpg?1789644859,4a771010-b397-4849-ac9b-08e4dd5d6a72
Haunted Ridge,Haunted Ridge,Colorless,C,BR,,0,Rare,Land,,,,normal,,,,3.0,Group rating for 'Rare Slow Lands',"These are going to enter untapped pretty reliably once you’re past the first couple of turns.

Even on turn one, the downside is barely a downside because most Limited decks aren’t exactly overflowing with one-drops they’re desperate to cast.

Good fixing with very little real cost attached is always something I’m happy to pick up, especially if it helps support a splash.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,180,https://scryfall.com/card/fra/180/haunted-ridge,https://cards.scryfall.io/normal/front/a/4/a4e4966b-8963-4fac-a8bf-e778e063c7dd.jpg?1788878241,a4e4966b-8963-4fac-a8bf-e778e063c7dd
Hexhaven Dueling Arena,Hexhaven Dueling Arena,Colorless,C,C,,0,Uncommon,Land,,,,normal,,,,1.5,,"I just talked about the very real cost of playing a colorless land with Hall of Echoes, so I don’t need to beat that horse again here.

The difference is that Hall of Echoes only asked you to have a creature before it started generating value. This one specifically needs a creature that can get Prepared, which narrows the number of decks that actually want it by quite a bit.

There are definitely builds where this can pop off and feel great. There are also plenty of decks that shouldn’t touch it with a ten-foot pole.

If your deck is built for it, go nuts. If not, don’t get cute and wreck your mana base for a dream.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,181,https://scryfall.com/card/fra/181/hexhaven-dueling-arena,https://cards.scryfall.io/normal/front/9/1/9128ce00-6744-4d36-bfbe-ef75d78110b0.jpg?1789556985,9128ce00-6744-4d36-bfbe-ef75d78110b0
Innovative Commons,Innovative Commons,Colorless,C,UR,,0,Common,Land,,,,normal,,,,2.5,Group rating for 'Planeswalker Lands',"By now, you already know the value of a dual land in Limited. If it’s in your colors or helps enable a splash, you’re taking it over random filler while still passing it for anything actually strong.

Normally, requiring a planeswalker to be untapped would make the extra ability pretty unreliable. In Reality Fracture, though, that hurdle is about as low as it gets thanks to Empower Jace giving almost every deck access to a planeswalker.

That makes these a little more than your average fixing lands, even if you still shouldn’t be taking them over real power.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,182,https://scryfall.com/card/fra/182/innovative-commons,https://cards.scryfall.io/normal/front/8/4/84ea799a-faa2-4ff1-a933-432d4ee31a3b.jpg?1789556991,84ea799a-faa2-4ff1-a933-432d4ee31a3b
